Land,2018,2019
Europäische Union,18.0,18.8
Albanien,36.8,36.7
Belgien,9.4,9.9
Bulgarien,20.5,21.6
Dänemark,35.4,37.2
Deutschland,16.7,17.4
Estland,30.0,31.9
Finnland,41.2,43.1
Frankreich,16.4,17.2
Griechenland,18.1,19.7
Irland,10.9,12.0
Island,76.7,78.2
Italien,17.8,18.2
Kosovo,24.6,25.7
Kroatien,28.0,28.5
Lettland,40.0,41.0
Litauen,24.7,25.5
Luxemburg,9.0,7.0
Malta,8.0,8.5
Niederlande,7.3,8.8
Österreich,33.8,33.6
Polen,11.5,12.2
Portugal,30.2,30.6
Rumänien,23.9,24.3
Schweden,54.6,56.4
Slowakei,11.9,16.9
Slowenien,21.0,21.7
Spanien,17.4,18.4
Tschechien,15.2,16.2
Ungarn,12.5,12.6
Vereinigtes Königreich,11.0,12.3
Zypern,13.9,13.8
